gs_cat,gs_subcat,gs_name,entrez_gene,gene_symbol,human_entrez_gene,human_gene_symbol,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description,species_name,species_common_name,ortholog_sources,num_ortholog_sources
H,,HALLMARK_ADIPOGENESIS,246747,Adig,149685,ADIG,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Ensembl,OrthoDB",10
H,,HALLMARK_ADIPOGENESIS,11450,Adipoq,9370,ADIPOQ,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Ensembl,OrthoDB",10
H,,HALLMARK_ADIPOGENESIS,68465,Adipor2,79602,ADIPOR2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,28169,Agpat3,56894,AGPAT3,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,26926,Aifm1,9131,AIFM1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,11637,Ak2,204,AK2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,11669,Aldh2,217,ALDH2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,11674,Aldoa,226,ALDOA,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,NCBI,HGNC,OMA,Panther,Ensembl",7
H,,HALLMARK_ADIPOGENESIS,11600,Angpt1,284,ANGPT1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,57875,Angptl4,51129,ANGPTL4,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,11804,Aplp2,334,APLP2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ADIPOGENESIS,11816,Apoe,348,APOE,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,11836,Araf,369,ARAF,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,11861,Arl4a,10124,ARL4A,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,56298,Atl2,64225,ATL2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,11933,Atp1b3,483,ATP1B3,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,28080,Atp5o,539,ATP5PO,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,PhylomeDB,EggNOG,OrthoMCL,OMA,Treefam,Ensembl,OrthoDB",8
H,,HALLMARK_ADIPOGENESIS,116848,Baz2a,11176,BAZ2A,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,12039,Bckdha,593,BCKDHA,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ADIPOGENESIS,94044,Bcl2l13,23786,BCL2L13,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,12053,Bcl6,604,BCL6,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,12266,C3,718,C3,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,12359,Cat,847,CAT,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,19285,Cavin1,284119,CAVIN1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,20324,Cavin2,8436,CAVIN2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,12452,Ccng2,901,CCNG2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,12476,Cd151,977,CD151,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,66205,Cd302,9936,CD302,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Ensembl",9
H,,HALLMARK_ADIPOGENESIS,12491,Cd36,948,CD36,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,12580,Cdkn2c,1031,CDKN2C,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,103172,Chchd10,400916,CHCHD10,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,12675,Chuk,1147,CHUK,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,12683,Cidea,1149,CIDEA,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,NCBI,EggNOG,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ADIPOGENESIS,69574,Cmbl,134147,CMBL,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,66588,Cmpk1,51727,CMPK1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,12819,Col15a1,1306,COL15A1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,12826,Col4a1,1282,COL4A1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,230027,Coq3,51805,COQ3,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,52064,Coq5,84274,COQ5,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,67914,Coq9,57017,COQ9,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,12861,Cox6a1,1337,COX6A1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"HomoloGene,NCBI,EggNOG,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ADIPOGENESIS,66142,Cox7b,1349,COX7B,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,HGNC,Panther,OMA,Ensembl,OrthoDB",9
H,,HALLMARK_ADIPOGENESIS,12868,Cox8a,1351,COX8A,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,12896,Cpt2,1376,CPT2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,12908,Crat,1384,CRAT,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,12974,Cs,1431,CS,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,66445,Cyc1,1537,CYC1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,13120,Cyp4b1,1580,CYP4B1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,13171,Dbt,1629,DBT,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,13202,Ddt,1652,DDT,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ADIPOGENESIS,67460,Decr1,1666,DECR1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,13350,Dgat1,8694,DGAT1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,13360,Dhcr7,1717,DHCR7,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,66375,Dhrs7,51635,DHRS7,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,216820,Dhrs7b,25979,DHRS7B,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,235339,Dlat,1737,DLAT,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,13382,Dld,1738,DLD,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,27362,Dnajb9,4189,DNAJB9,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,66148,Dnajc15,29103,DNAJC15,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,67171,Dram2,128338,DRAM2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,51798,Ech1,1891,ECH1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,93747,Echs1,1892,ECHS1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,232089,Elmod3,84173,ELMOD3,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,170439,Elovl6,79071,ELOVL6,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,18606,Enpp2,5168,ENPP2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,13850,Ephx2,2053,EPHX2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,26379,Esrra,2101,ESRRA,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",9
H,,HALLMARK_ADIPOGENESIS,23943,Esyt1,23344,ESYT1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,110826,Etfb,2109,ETFB,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,11770,Fabp4,2167,FABP4,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl",10
H,,HALLMARK_ADIPOGENESIS,14085,Fah,2184,FAH,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,14366,Fzd4,8322,FZD4,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,23881,G3bp2,9908,G3BP2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,13197,Gadd45a,1647,GADD45A,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,74185,Gbe1,2632,GBE1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,66092,Ghitm,27069,GHITM,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,14732,Gpam,57678,GPAM,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ADIPOGENESIS,102247,Gpat4,137964,GPAT4,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,14571,Gpd2,2820,GPD2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
